# ell, ell*(ell+1)*C_11(ell)/2pi, ell*(ell+1)*C_12(ell)/2pi, ell*(ell+1)*C_22(ell)/2pi
6.540810000000000457e+01 3.999828694720879590e-06 5.616525818139526428e-06 8.798438223370309003e-06
6.786769999999999925e+01 4.108760638222942557e-06 5.778949108618625963e-06 9.075102794835901576e-06
7.041989999999999839e+01 4.220762326884276375e-06 5.946206585009374523e-06 9.360634556370422960e-06
7.306799999999999784e+01 4.335889840777495624e-06 6.118412281830645105e-06 9.655437557369307735e-06
7.581579999999999586e+01 4.448788814073771435e-06 6.286913747077435646e-06 9.944004699078820014e-06
7.866679999999999495e+01 4.564478215957908234e-06 6.459803393212882561e-06 1.024066881156474619e-05
8.162510000000000332e+01 4.683257495256949339e-06 6.637571068409414500e-06 1.054648802888732878e-05
8.469459999999999411e+01 4.800587586486714350e-06 6.812504961065387654e-06 1.084708238077648263e-05
8.787949999999999307e+01 4.919940650969134411e-06 6.990500776108725663e-06 1.115333814566781284e-05
9.118429999999999325e+01 5.042357924423579619e-06 7.173288572494825684e-06 1.146844816842291634e-05
9.461320000000000618e+01 5.164731263484681869e-06 7.355036199100351817e-06 1.178068172298801322e-05
9.817119999999999891e+01 5.288731712160343887e-06 7.538875394852539760e-06 1.209621511627869809e-05
1.018629999999999995e+02 5.415796348921030358e-06 7.727410844090540058e-06 1.242037949175255315e-05
1.056929999999999978e+02 5.543602375647019241e-06 7.916001442039394696e-06 1.274325007117781876e-05
1.096680000000000064e+02 5.672729192527336384e-06 8.105703533196782019e-06 1.306684254084919005e-05
1.137920000000000016e+02 5.804878289661368848e-06 8.299968496343823601e-06 1.339871153883040512e-05
1.180709999999999980e+02 5.939194692441649378e-06 8.496358839693119396e-06 1.373243128369245123e-05
1.225109999999999957e+02 6.075378609488539071e-06 8.693864526426824306e-06 1.406533690151649418e-05
1.271179999999999950e+02 6.214742230944440954e-06 8.896051054501039418e-06 1.440649125679566685e-05
1.318990000000000009e+02 6.357016617321450598e-06 9.101631012847010579e-06 1.475186297205135740e-05
1.368590000000000089e+02 6.501545515046126414e-06 9.308156849638654103e-06 1.509455187632906107e-05
